date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:12	69515/69515	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Aug%202023%2021:45:10%20GMT	https://comunidademonster.online/presell1/fortune/	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/fortune/index.html	(from )
18:45:13	125/125	---MC-	200	added ('OK')	text/plain	date:Tue,%2008%20Aug%202023%2021:45:10%20GMT	https://comunidademonster.online/robots.txt		(from )
18:45:13	19443/19443	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:16:30%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minfc13.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:13	83564/83564	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:16:30%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.13.4	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/plugins/elementor/assets/css/frontend-lite.mina44d.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:13	16471/16471	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:16:30%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:13	1099/1099	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:18:16%20GMT	https://comunidademonster.online/presell1/wp-content/uploads/elementor/css/post-5.css?ver=1685722696	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/uploads/elementor/css/post-5ea65.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:14	9475/9475	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:26:53%20GMT	https://comunidademonster.online/presell1/wp-content/uploads/elementor/css/global.css?ver=1685723213	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/uploads/elementor/css/globald9dc.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:14	11189/11189	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Jul%202023%2019:00:09%20GMT	https://comunidademonster.online/presell1/wp-content/uploads/elementor/css/post-364.css?ver=1690311609	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/uploads/elementor/css/post-364f59c.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:14	57912/57912	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:16:30%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:14	677/677	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:16:30%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:15	669/669	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:16:30%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://comunidademonster.online/presell1/fortune/)
18:45:15	89815/89815	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Mar%202023%2016:37:34%20GMT	https://comunidademonster.online/presell1/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-includes/js/jquery/jquery.min5aed.js	(from https://comunidademonster.online/presell1/fortune/)
18:45:15	13424/13424	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Feb%202023%2018:59:16%20GMT	https://comunidademonster.online/presell1/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://comunidademonster.online/presell1/fortune/)
18:45:15	1317/1317	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2012%20Jun%202023%2013:35:15%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js?ver=6.2.2	C:/Users/duard/Downloads/FORTUNE%20TIGER%201.0/dfsdfsdfs/comunidademonster.online/presell1/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min3781.js	(from https://comunidademonster.online/presell1/fortune/)
